controller,bend_angle_deg,log_csv,n_steps,success,num_failed_steps,num_infeasible_steps,first_failure_k,final_status,final_i_ref,max_i_ref,mean_pred_err_xy_mm,max_pred_err_xy_mm,mean_clearance_mm,min_clearance_mm,mean_tip_vessel_angle_deg,max_tip_vessel_angle_deg,mean_cond_H_beam,max_cond_H_beam,mean_cond_H_mpc,max_cond_H_mpc,mean_sqp_du_final,max_sqp_du_final,mean_sqp_du_rel_final,max_sqp_du_rel_final,mean_curvature_ahead_1pm,max_curvature_ahead_1pm,mean_rollout_steps_used,max_rollout_steps_used,mean_hierarchy_level,max_hierarchy_level,mean_hierarchy_confidence,min_hierarchy_confidence,mean_hierarchy_risk,max_hierarchy_risk,frac_lti,frac_ltv_oneshot,frac_sqp_full,frac_vxy_saturated,frac_wz_saturated,frac_dL_saturated,num_hier_curvature,num_hier_sqp_du_rel,num_hier_clearance,num_hier_beam_cond,num_hier_mpc_cond,num_hier_hard,num_hier_moderate,num_hier_easy,num_hier_escalate,num_hier_downgrade_held,num_hier_downgrade_allowed,num_level_switches,num_rollout_switches,num_solver_switches,unique_rollout_steps,unique_solver_modes,num_rollout_good_increase,num_rollout_bad_tip_angle,num_rollout_bad_low_clearance,mean_sqp_iters_done,max_sqp_iters_done,sum_sqp_iters_done,mean_N_sqp_used,max_N_sqp_used,sum_N_sqp_used,mean_solver_complexity_proxy,sum_solver_complexity_proxy,family,nominal_solver,nominal_rollout,jacobian_model,ablation,Np,score
fixed_lti_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout1_np5/bend_m90_jac_contact_plant_contact_1_lti_rollout1_Np5_sqp5/log.csv,38,True,0,0,-1,solved,41.0,41.0,0.1766744237607872,2.398297033766141,2.1708866369200055,0.926641216809466,54.49188334754617,73.4288465700081,693.3218538404141,5761.6249435469545,6775328.931737535,47304733.89626958,0.8418154827099128,4.686729137835434,2.604850193969473,93.74950843116166,116.96096145330189,233.18519139449108,1.0,1.0,,,,,,,1.0,0.0,0.0,0.39473684210526316,0.7894736842105263,0.07894736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,lti,1,28,8,1.0,1.0,38.0,5.0,5.0,190.0,5.0,190.0,fixed_baseline,lti,1.0,contact,,,-14.188478545428003
fixed_lti_rollout5_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_lti_rollout5_np5/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,9,True,0,0,-1,solved,41.0,41.0,1.7091773666198642,4.29074632160601,1.5006430047490233,0.8579968993525519,38.31413008096517,71.2872199344952,1057.2388949501726,5497.238909792025,12334430.29709143,66775034.37278724,2.7594236624559247,4.686077998182361,10.737699359389092,93.74950843116166,139.45852096144446,233.18519139449108,5.0,5.0,,,,,,,1.0,0.0,0.0,0.0,0.4444444444444444,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,lti,0,1,4,1.0,1.0,9.0,5.0,5.0,45.0,5.0,45.0,fixed_baseline,lti,5.0,contact,,,-33.97242870604438
fixed_ltv_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_ltv_rollout1_np5/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np5_sqp5/log.csv,31,False,1,1,30,primal infeasible,27.0,27.0,0.1793941299435274,0.9409428320619364,3.143362972006456,0.9963020969623384,61.37558369510571,72.51256318703571,363.55092045990904,1389.800951928698,5488820.882571108,12370805.939840728,1.6652833320923144,4.686109824929111,3.2895061039274167,93.73146553967491,154.74233008704562,233.18519139449108,1.0,1.0,,,,,,,0.0,1.0,0.0,0.25806451612903225,0.9032258064516129,0.03225806451612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ltv_oneshot,1,28,1,0.967741935483871,1.0,30.0,5.0,5.0,155.0,5.0,155.0,fixed_baseline,ltv_oneshot,1.0,contact,,,-111.50690117137519
fixed_ltv_rollout3_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_ltv_rollout3_np5/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np5_sqp5/log.csv,100,True,0,0,-1,solved,23.0,23.0,0.03195632379381139,1.2503545651266963,2.813718707044771,1.9427377298217636,48.826521468624094,53.9171013663185,1.6532536932190807,4.660504284571554,4720472.589452562,4775286.186632342,0.7441900116386678,4.68588318399485,1.1887857244240145,93.73146553967491,228.27847715768684,233.18519139449108,3.0,3.0,,,,,,,0.0,1.0,0.0,0.23,0.13,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,ltv_oneshot,0,99,0,1.0,1.0,100.0,5.0,5.0,500.0,5.0,500.0,fixed_baseline,ltv_oneshot,3.0,contact,,,-11.070386197794365
fixed_sqp_rollout1_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5/bend_m90_jac_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,21,True,0,0,-1,solved,41.0,41.0,0.0424928927746221,0.333207091263463,2.278770405390177,0.9871032615298424,44.18175453498391,67.53332329155157,1611.5290784606332,8237.884884454466,6587632.393687267,13441440.292116515,1.137853554533367,3.1328807695474876,0.0971838059549874,0.2797175559227411,71.0075932667466,233.18519139449108,1.0,1.0,,,,,,,0.0,0.0,1.0,0.47619047619047616,0.9523809523809523,0.23809523809523808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,2,12,4,5.0,5.0,105.0,5.0,5.0,105.0,5.0,105.0,fixed_baseline,sqp_full,1.0,contact,,,7.332181308990805
fixed_sqp_rollout1_no_contact_model,-90.0,/Users/jackhilton-jones/Proper-Research/run_baseline_sqp_rollout1_np5_no_contact_model/bend_m90_jac_no_contact_plant_contact_1_sqp_full_rollout1_Np5_sqp5/log.csv,13,False,1,1,12,primal infeasible,34.0,34.0,0.09502415238504162,0.8636008197188904,3.246816568207526,2.462298679091401,48.23834650192054,68.77108085153174,56.92857267557633,415.1097419674626,4862078.332981379,5264354.386020959,0.11988746183048656,0.2565787641150048,0.008903162799103,0.020392741312093,112.31104373236485,233.18519139449108,1.0,1.0,,,,,,,0.0,0.0,1.0,0.6923076923076923,0.9230769230769231,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,sqp_full,1,8,0,4.615384615384615,5.0,60.0,5.0,5.0,65.0,5.0,65.0,fixed_baseline,sqp_full,1.0,no_contact,,,-105.1444405378016
hierarchy_full_contact,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_ablation_full/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,20,True,0,0,-1,solved,41.0,41.0,0.11687853119871083,0.6669827224961886,2.4128321782846807,0.977167085154375,43.708092547422,67.53332329155157,2110.4963916781394,12641.051785504977,11575386.886533674,58459567.8183012,1.4690191418026928,4.601327385444137,0.23844049212234983,2.195186449605373,75.75279324059687,233.18519139449108,1.0,1.0,1.6,2.0,0.2,0.0,0.8,1.0,0.0,0.4,0.6,0.4,0.75,0.25,9,1,8,0,0,10,8,2,2,4,1,2,0,2,1,"ltv_oneshot,sqp_full",1,11,6,3.4,5.0,68.0,3.4,5.0,68.0,3.4,68.0,hierarchy,adaptive,,contact,full,,4.94602058727686
hierarchy_full_contact_Np10,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_Np10/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp5/log.csv,11,False,1,1,10,primal infeasible,30.0,30.0,0.11517773104339546,0.7583087602564679,3.586604278915004,3.06211205475278,52.54430716121683,71.20968328622449,1414.3291682847687,3922.318534100397,19228449.000824425,32034789.1743138,2.4027727168817954,5.209536104044398,0.17294391266175593,0.5280680140348998,134.8771108145634,233.18519139449108,1.1818181818181819,2.0,1.3636363636363635,2.0,0.3181818181818182,0.0,0.6818181818181818,1.0,0.09090909090909091,0.45454545454545453,0.45454545454545453,0.6363636363636364,0.8181818181818182,0.09090909090909091,8,1,0,0,0,4,5,2,2,2,2,3,1,3,"1,2","lti,ltv_oneshot,sqp_full",1,8,0,2.727272727272727,5.0,30.0,2.8181818181818183,5.0,31.0,2.8181818181818183,31.0,hierarchy,adaptive,,contact,full,10.0,-107.43059728069083
hierarchy_full_contact_Np5,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_Np5/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np5_sqp5/log.csv,20,True,0,0,-1,solved,41.0,41.0,0.11687853119871083,0.6669827224961886,2.4128321782846807,0.977167085154375,43.708092547422,67.53332329155157,2110.4963916781394,12641.051785504977,11575386.886533674,58459567.8183012,1.4690191418026928,4.601327385444137,0.23844049212234983,2.195186449605373,75.75279324059687,233.18519139449108,1.0,1.0,1.6,2.0,0.2,0.0,0.8,1.0,0.0,0.4,0.6,0.4,0.75,0.25,9,1,8,0,0,10,8,2,2,4,1,2,0,2,1,"ltv_oneshot,sqp_full",1,11,6,3.4,5.0,68.0,3.4,5.0,68.0,3.4,68.0,hierarchy,adaptive,,contact,full,5.0,4.94602058727686
hierarchy_full_contact_Np8,-90.0,/Users/jackhilton-jones/Proper-Research/run_hierarchy_simple_Np8/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np8_sqp5/log.csv,13,False,1,1,12,primal infeasible,29.0,29.0,0.18560166113535928,0.6554005643346734,3.5428841764494714,3.062199596556876,53.23917669693241,71.08330492452947,8190.942627174411,79684.6484609768,14151243.21233279,29390322.03936608,1.4213551712355648,4.096391126597548,0.18891389584595686,0.9098293465199966,116.49787332844375,233.18519139449108,1.0,1.0,1.3846153846153846,2.0,0.3076923076923077,0.0,0.6923076923076923,1.0,0.0,0.6153846153846154,0.38461538461538464,0.6153846153846154,0.6923076923076923,0.07692307692307693,9,2,0,3,0,4,8,1,1,2,1,1,0,1,1,"ltv_oneshot,sqp_full",1,9,0,2.4615384615384617,5.0,32.0,2.5384615384615383,5.0,33.0,2.5384615384615383,33.0,hierarchy,adaptive,,contact,full,8.0,-107.14117376700469
